1770619171.256030 server started (20939): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1770619171.256099 on Darwin 25.2.0 Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:55 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T8103
1770619171.256112 using libevent 2.1.12-stable select
1770619171.256127 using utf8proc 2.11.3
1770619171.256136 using ncurses 6.5 20240427
1770619171.257268 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1770619171.257273 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1770619171.257279 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1770619171.257284 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1770619171.257290 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1770619171.257295 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1770619171.257301 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1770619171.257306 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1770619171.257312 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1770619171.257317 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1770619171.257323 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1770619171.257328 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1770619171.257334 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1770619171.257340 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1770619171.257345 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1770619171.257351 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1770619171.257357 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1770619171.257362 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1770619171.257376 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1770619171.257382 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1770619171.257387 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1770619171.257393 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1770619171.257399 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1770619171.257404 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1770619171.257409 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1770619171.257415 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1770619171.257421 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1770619171.257426 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1770619171.257432 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1770619171.257437 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1770619171.257442 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1770619171.257448 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1770619171.257453 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1770619171.257459 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1770619171.257464 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1770619171.257469 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1770619171.257475 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1770619171.257480 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1770619171.257486 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1770619171.257491 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1770619171.257497 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1770619171.257502 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1770619171.257507 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1770619171.257513 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1770619171.257518 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1770619171.257524 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1770619171.257529 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1770619171.257534 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1770619171.257540 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1770619171.257545 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1770619171.257550 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1770619171.257557 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1770619171.257563 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1770619171.257568 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1770619171.257574 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1770619171.257580 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1770619171.257585 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1770619171.257591 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1770619171.257596 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1770619171.257602 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1770619171.257607 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1770619171.257613 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1770619171.257619 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1770619171.257624 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1770619171.257630 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1770619171.257635 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1770619171.257665 yylex_token: end at WS
1770619171.257671 yylex_token: bind
1770619171.257678 yylex_token: end at WS
1770619171.257683 yylex_token: -N
1770619171.257691 yylex_token: end at WS
1770619171.257697 yylex_token: Send the prefix key
1770619171.257703 yylex_token: end at WS
1770619171.257708 yylex_token: C-b
1770619171.257725 yylex_token: end at WS
1770619171.257731 yylex_token: send-prefix
1770619171.257740 cmd_parse_build_commands 0:0: bind
1770619171.257745 cmd_parse_build_commands 0:1: -N
1770619171.257751 cmd_parse_build_commands 0:2: Send the prefix key
1770619171.257756 cmd_parse_build_commands 0:3: C-b
1770619171.257762 cmd_parse_build_commands 0:4 0:0: send-prefix
1770619171.257784 cmd_parse_build_commands 0:0: send-prefix
1770619171.257798 args_parse: flags end at 1 of 1
1770619171.257806 cmd_parse_build_commands: send-prefix
1770619171.257812 args_parse_flags: next -N
1770619171.257818 args_parse_flag_argument: -N = Send the prefix key
1770619171.257824 args_parse_flags: next C-b
1770619171.257830 args_parse: flags end at 3 of 5
1770619171.257835 args_parse: 3 = C-b (type STRING)
1770619171.257845 args_parse: 4 = send-prefix (type COMMANDS)
1770619171.257862 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1770619171.257872 cmdq_get_command: [bind-key/0x101598570] group 6
1770619171.257880 cmdq_append <global>: [bind-key/0x101598570]
1770619171.257887 yylex_token: end at WS
1770619171.257895 yylex_token: bind
1770619171.257902 yylex_token: end at WS
1770619171.257909 yylex_token: -N
1770619171.257918 yylex_token: end at WS
1770619171.257925 yylex_token: Rotate through the panes
1770619171.257934 yylex_token: end at WS
1770619171.257941 yylex_token: C-o
1770619171.257949 yylex_token: end at WS
1770619171.257956 yylex_token: rotate-window
1770619171.257966 cmd_parse_build_commands 0:0: bind
1770619171.257971 cmd_parse_build_commands 0:1: -N
1770619171.257978 cmd_parse_build_commands 0:2: Rotate through the panes
1770619171.257985 cmd_parse_build_commands 0:3: C-o
1770619171.257993 cmd_parse_build_commands 0:4 0:0: rotate-window
1770619171.258003 cmd_parse_build_commands 0:0: rotate-window
1770619171.258013 args_parse: flags end at 1 of 1
1770619171.258022 cmd_parse_build_commands: rotate-window
1770619171.258030 args_parse_flags: next -N
1770619171.258038 args_parse_flag_argument: -N = Rotate through the panes
1770619171.258045 args_parse_flags: next C-o
1770619171.258052 args_parse: flags end at 3 of 5
1770619171.258060 args_parse: 3 = C-o (type STRING)
1770619171.258067 args_parse: 4 = rotate-window (type COMMANDS)
1770619171.258083 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1770619171.258092 cmdq_get_command: [bind-key/0x1015988a0] group 14
1770619171.258099 cmdq_append <global>: [bind-key/0x1015988a0]
1770619171.258107 yylex_token: end at WS
1770619171.258114 yylex_token: bind
1770619171.258122 yylex_token: end at WS
1770619171.258128 yylex_token: -N
1770619171.258138 yylex_token: end at WS
1770619171.258145 yylex_token: Suspend the current client
1770619171.258153 yylex_token: end at WS
1770619171.258161 yylex_token: C-z
1770619171.258169 yylex_token: end at WS
1770619171.258177 yylex_token: suspend-client
1770619171.258185 cmd_parse_build_commands 0:0: bind
1770619171.258192 cmd_parse_build_commands 0:1: -N
1770619171.258199 cmd_parse_build_commands 0:2: Suspend the current client
1770619171.258206 cmd_parse_build_commands 0:3: C-z
1770619171.258214 cmd_parse_build_commands 0:4 0:0: suspend-client
1770619171.258223 cmd_parse_build_commands 0:0: suspend-client
1770619171.258233 args_parse: flags end at 1 of 1
1770619171.258241 cmd_parse_build_commands: suspend-client
1770619171.258248 args_parse_flags: next -N
1770619171.258256 args_parse_flag_argument: -N = Suspend the current client
1770619171.258263 args_parse_flags: next C-z
1770619171.258269 args_parse: flags end at 3 of 5
1770619171.258277 args_parse: 3 = C-z (type STRING)
1770619171.258285 args_parse: 4 = suspend-client (type COMMANDS)
1770619171.258303 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1770619171.258312 cmdq_get_command: [bind-key/0x101598b80] group 22
1770619171.258319 cmdq_append <global>: [bind-key/0x101598b80]
1770619171.258328 yylex_token: end at WS
1770619171.258334 yylex_token: bind
1770619171.258341 yylex_token: end at WS
1770619171.258358 yylex_token: -N
1770619171.258367 yylex_token: end at WS
1770619171.258375 yylex_token: Select next layout
1770619171.258384 yylex_token: end at WS
1770619171.258392 yylex_token: Space
1770619171.258401 yylex_token: end at WS
1770619171.258408 yylex_token: next-layout
1770619171.258417 cmd_parse_build_commands 0:0: bind
1770619171.258422 cmd_parse_build_commands 0:1: -N
1770619171.258429 cmd_parse_build_commands 0:2: Select next layout
1770619171.258436 cmd_parse_build_commands 0:3: Space
1770619171.258444 cmd_parse_build_commands 0:4 0:0: next-layout
1770619171.258453 cmd_parse_build_commands 0:0: next-layout
1770619171.258461 args_parse: flags end at 1 of 1
1770619171.258470 cmd_parse_build_commands: next-layout
1770619171.258478 args_parse_flags: next -N
1770619171.258486 args_parse_flag_argument: -N = Select next layout
1770619171.258498 args_parse_flags: next Space
1770619171.258507 args_parse: flags end at 3 of 5
1770619171.258514 args_parse: 3 = Space (type STRING)
1770619171.258522 args_parse: 4 = next-layout (type COMMANDS)
1770619171.258541 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1770619171.258550 cmdq_get_command: [bind-key/0x101598e70] group 30
1770619171.258558 cmdq_append <global>: [bind-key/0x101598e70]
1770619171.258568 yylex_token: end at WS
1770619171.258576 yylex_token: bind
1770619171.258584 yylex_token: end at WS
1770619171.258590 yylex_token: -N
1770619171.258600 yylex_token: end at WS
1770619171.258607 yylex_token: Break pane to a new window
1770619171.258614 yylex_token: end at WS
1770619171.258621 yylex_token: !
1770619171.258629 yylex_token: end at WS
1770619171.258636 yylex_token: break-pane
1770619171.258644 cmd_parse_build_commands 0:0: bind
1770619171.258652 cmd_parse_build_commands 0:1: -N
1770619171.258660 cmd_parse_build_commands 0:2: Break pane to a new window
1770619171.258668 cmd_parse_build_commands 0:3: !
1770619171.258677 cmd_parse_build_commands 0:4 0:0: break-pane
1770619171.258686 cmd_parse_build_commands 0:0: break-pane
1770619171.258694 args_parse: flags end at 1 of 1
1770619171.258702 cmd_parse_build_commands: break-pane
1770619171.258709 args_parse_flags: next -N
1770619171.258717 args_parse_flag_argument: -N = Break pane to a new window
1770619171.258724 args_parse_flags: next !
1770619171.258731 args_parse: flags end at 3 of 5
1770619171.258738 args_parse: 3 = ! (type STRING)
1770619171.258746 args_parse: 4 = break-pane (type COMMANDS)
1770619171.258764 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1770619171.258774 cmdq_get_command: [bind-key/0x10159b130] group 38
1770619171.258781 cmdq_append <global>: [bind-key/0x10159b130]
1770619171.258788 yylex_token: end at WS
1770619171.258795 yylex_token: bind
1770619171.258802 yylex_token: end at WS
1770619171.258809 yylex_token: -N
1770619171.258818 yylex_token: end at WS
1770619171.258826 yylex_token: Split window vertically
1770619171.258834 yylex_token: end at WS
1770619171.258842 yylex_token: "
1770619171.258852 yylex_token: end at WS
1770619171.258859 yylex_token: split-window
1770619171.258867 cmd_parse_build_commands 0:0: bind
1770619171.258874 cmd_parse_build_commands 0:1: -N
1770619171.258881 cmd_parse_build_commands 0:2: Split window vertically
1770619171.258891 cmd_parse_build_commands 0:3: "
1770619171.258899 cmd_parse_build_commands 0:4 0:0: split-window
1770619171.258909 cmd_parse_build_commands 0:0: split-window
1770619171.258919 args_parse: flags end at 1 of 1
1770619171.258927 cmd_parse_build_commands: split-window
1770619171.258934 args_parse_flags: next -N
1770619171.258942 args_parse_flag_argument: -N = Split window vertically
1770619171.258951 args_parse_flags: next "
1770619171.258959 args_parse: flags end at 3 of 5
1770619171.258968 args_parse: 3 = " (type STRING)
1770619171.258976 args_parse: 4 = split-window (type COMMANDS)
1770619171.258991 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1770619171.258999 cmdq_get_command: [bind-key/0x10159b420] group 46
1770619171.259006 cmdq_append <global>: [bind-key/0x10159b420]
1770619171.259025 yylex_token: end at WS
1770619171.259032 yylex_token: bind
1770619171.259039 yylex_token: end at WS
1770619171.259046 yylex_token: -N
1770619171.259055 yylex_token: end at WS
1770619171.259062 yylex_token: List all paste buffers
1770619171.259069 yylex_token: end at WS
1770619171.259076 yylex_token: #
1770619171.259084 yylex_token: end at WS
1770619171.259094 yylex_token: list-buffers
1770619171.259102 cmd_parse_build_commands 0:0: bind
1770619171.259109 cmd_parse_build_commands 0:1: -N
1770619171.259117 cmd_parse_build_commands 0:2: List all paste buffers
1770619171.259124 cmd_parse_build_commands 0:3: #
1770619171.259131 cmd_parse_build_commands 0:4 0:0: list-buffers
1770619171.259140 cmd_parse_build_commands 0:0: list-buffers
1770619171.259148 args_parse: flags end at 1 of 1
1770619171.259156 cmd_parse_build_commands: list-buffers
1770619171.259164 args_parse_flags: next -N
1770619171.259173 args_parse_flag_argument: -N = List all paste buffers
1770619171.259182 args_parse_flags: next #
1770619171.259190 args_parse: flags end at 3 of 5
1770619171.259198 args_parse: 3 = # (type STRING)
1770619171.259207 args_parse: 4 = list-buffers (type COMMANDS)
1770619171.259220 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1770619171.259233 cmdq_get_command: [bind-key/0xac6c18000] group 54
1770619171.259240 cmdq_append <global>: [bind-key/0xac6c18000]
1770619171.259248 yylex_token: end at WS
1770619171.259255 yylex_token: bind
1770619171.259262 yylex_token: end at WS
1770619171.259268 yylex_token: -N
1770619171.259277 yylex_token: end at WS
1770619171.259285 yylex_token: Rename current session
1770619171.259292 yylex_token: end at WS
1770619171.259299 yylex_token: $
1770619171.259307 yylex_token: end at WS
1770619171.259314 yylex_token: command-prompt
1770619171.259322 yylex_token: end at WS
1770619171.259329 yylex_token: -I#S
1770619171.259337 yylex_token: end at WS
1770619171.259345 yylex_token: rename-session
1770619171.259353 yylex_token: end at WS
1770619171.259360 yylex_token: --
1770619171.259368 yylex_token: end at WS
1770619171.259375 yylex_token: %%
